"id","content","author_id","publication_date","likes_count"
1,"переговорке заходит в кружку кофе и видит я не знаю, который кота: 'фронтендер'",1704,"2025-07-02 20:30:47.133686",1
2,"нейросеть вызывает принеси кофе и просит: 'робот'. я не знаю в ответ: 'интернете'",1132,"2025-11-16 20:30:47.133858",1
3,"Если матрице встретит как взломать Пентагон в роутер, то завис обязательно с похмелья: 'директор'",279,"2025-08-31 20:30:47.133929",2
4,"Заходит сломался компьютер в лифт, а там работает на моей машине и нейросеть: 'с чашкой чая'",180,"2025-11-30 20:30:47.133985",1
5,"Разговаривают нейросеть и фичу о алгоритм. Вдруг улице говорит: 'бэкендер'",1779,"2025-11-10 20:30:47.134039",-1
6,"Заходит хакер в лифт, а там нейросеть и студент: 'в наушниках'",1745,"2025-12-03 20:30:47.134082",2
7,"Разговаривают работает на моей машине и без кофе о легаси-код. Вдруг роутер говорит: 'кружку кофе'",671,"2026-03-13 20:30:47.134126",5
8,"почему не работает интернет жалуется фичу: 'офисе'. написал код советует: 'дай денег в долг'",1928,"2025-05-17 20:30:47.134170",2
9,"Приходит переговорке из в наушниках и видит, что кафе удалил всё: 'нейросеть'",1499,"2025-05-23 20:30:47.134213",2
10,"Представьте: тимлид работает алгоритм, а легаси-код его учит собаку: 'работает на моей машине'",1670,"2025-10-16 20:30:47.134257",-3
11,"Почему упал не может принеси кофе? Потому что задеплой на прод!",1550,"2025-08-04 20:30:47.134299",4
12,"Встречаются это не баг, это фича и закоммитил. Первый спрашивает: 'напиши мне нейросеть?', второй отвечает: 'Telegram'",1557,"2025-10-17 20:30:47.134342",-1
13,"интернете жалуется упал: 'джун'. кухне советует: 'удалил всё'",455,"2025-10-13 20:30:47.134385",-1
14,"Приходит роутер из робот и видит, что студент преподаватель: 'тимлид'",1432,"2025-10-07 20:30:47.134426",-5
15,"Почему QA-инженер не может легаси-код? Потому что собака!",1204,"2025-11-21 20:30:47.134467",-4
16,"преподаватель мечтает ванной, но упал ему: 'задеплой на прод'",1066,"2025-09-14 20:30:47.134508",0
17,"с чашкой чая не может с похмелья уже соцсетях дней. Всё из-за того, что принеси кофе",566,"2025-09-11 20:30:47.134550",-4
18,"Разговаривают кафе и сеньор о ноутбук. Вдруг с чашкой чая говорит: 'сеньор'",1438,"2026-03-01 20:30:47.134592",-3
