"id","user_id","anecdote_id"
1,1842,7328
2,706,11255
3,1249,10976
4,1374,18542
5,1331,13923
6,1782,1297
7,545,94
8,1292,19346
9,1255,8203
10,1333,19981
11,275,14335
12,388,8581
13,257,19132
14,915,7555
15,1815,13779
16,447,8370
17,1640,15946
18,1189,7117
19,1955,15605
20,988,5854
21,67,7390
22,1456,1817
23,1532,7903
24,1359,3213
25,403,19949
26,941,1838
27,114,5061
28,1533,19061
29,187,15793
30,1586,8780
31,1913,13463
32,867,12525
33,469,876
34,1298,13287
35,1655,10574
36,640,12955
37,1343,11270
38,375,3092
39,227,17688
40,1292,14232
41,1424,11362
42,1714,12333
43,855,8252
44,159,635
45,1732,7861
46,1575,10913
47,1916,18631
48,626,8189
49,1838,1949
50,520,5853
51,456,558
52,273,3446
53,58,504
54,842,10295
55,1673,131
56,1537,489
57,1670,6166
58,1155,17469
59,583,11793
60,1198,15878
61,1069,8530
62,1167,1040
63,1459,11661
64,1364,16436
65,1773,5252
66,1858,14648
67,551,10566
68,1145,11142
69,1952,6099
70,1217,7686
71,1343,15829
72,1830,752
73,581,12214
74,1812,1474
75,862,10159
76,1682,14307
77,1472,7495
78,750,6064
79,1358,16427
80,1552,3068
81,954,5090
82,925,13625
83,1873,599
84,1012,6474
85,891,10339
86,1285,14260
87,744,15816
88,1590,11504
89,884,18647
90,1245,19932
91,839,7038
92,387,1879
93,1846,11948
94,1270,13202
95,287,6303
96,1504,18987
97,1846,7179
98,285,15804
99,64,3916
100,266,101
101,1258,17901
102,1942,17940
103,460,1097
104,1848,5572
105,559,5788
106,1865,11244
107,63,7130
108,1717,18942
109,1921,12737
110,525,1596
111,570,5303
112,916,14940
113,124,13185
114,1793,12893
115,481,19545
116,1637,16674
117,1281,15008
118,1508,3511
119,1832,11520
120,200,1717
121,53,15348
122,1762,12060
123,72,17093
124,341,15935
125,1950,19529
126,1478,1072
127,436,4483
128,1358,17292
129,335,18875
130,1348,12979
131,618,5230
132,159,19488
133,146,6287
134,578,3876
135,1469,12037
136,1884,9224
137,561,11589
138,509,7647
139,1316,16172
140,1802,18138
141,848,7887
142,1974,565
143,1649,682
144,1817,16517
145,429,8619
146,1430,4754
147,1107,16909
148,387,15737
149,1248,4283
150,705,15536
151,786,2930
152,378,13007
153,155,8768
154,425,8607
155,1973,19230
156,1111,2211
157,1580,14341
158,512,4507
159,960,5795
160,1953,8749
161,1717,106
162,1394,2941
163,677,15765
164,597,6529
165,61,13508
166,1571,9767
167,1938,8528
168,180,7029
169,1945,13378
170,865,2081
171,963,3614
172,626,3400
173,1388,4315
174,355,9525
175,1234,3455
176,1969,16343
177,277,18357
178,601,6805
179,789,5512
180,582,1452
181,342,18385
182,1572,7390
183,1973,12392
184,575,19228
185,1975,15206
186,1920,10159
187,361,14173
188,1763,17825
189,1231,18570
190,1532,11707
191,1203,4415
192,667,6898
193,187,4121
194,1675,16319
195,747,81
196,540,13513
197,758,10842
198,141,16242
199,135,1551
200,84,710
201,1784,1343
202,588,18174
203,778,10568
204,114,19615
205,1416,17321
206,584,9364
207,82,10747
208,1120,5427
209,185,18341
210,1438,1445
211,1978,3061
212,1472,1914
213,1043,10721
214,815,6285
215,501,14871
216,1202,4375
217,1956,17234
218,729,3429
219,1139,13542
220,255,2390
221,778,12878
222,552,10924
223,812,2623
224,333,10559
225,835,7119
226,1315,2612
227,1957,347
228,167,4300
229,319,15414
230,229,9097
231,1719,8012
232,1717,15562
233,832,18863
234,870,19092
235,598,2522
236,1635,9570
237,44,635
238,1124,10384
239,839,4566
240,366,12095
241,266,10907
242,673,18546
243,1395,15669
244,185,18560
245,1428,15814
246,480,14621
247,401,15978
248,624,5826
249,205,3816
250,1172,9656
251,1683,6599
252,827,10943
253,1330,4349
254,230,7812
255,457,11474
256,665,15898
257,1033,7718
258,594,1244
259,1555,8010
260,1311,12030
261,91,19294
262,1668,14300
263,384,3862
264,1908,14196
265,913,7819
266,352,12185
267,1874,5650
268,1633,7262
269,503,18739
270,1539,5839
271,659,10311
272,1380,8573
273,1586,461
274,1200,13821
275,1552,2173
276,1120,3290
277,45,4089
278,692,17360
279,243,15038
280,1870,13040
281,689,9753
282,299,5713
283,940,11931
284,843,1162
285,1465,11355
286,1512,19623
287,1760,7276
288,427,18241
289,1794,13327
290,35,11815
291,662,7120
292,553,1092
293,1564,1013
294,1434,10412
295,936,19343
296,412,19764
297,634,2014
298,1495,2467
299,351,5435
300,924,10580
301,473,4167
302,1005,3851
303,1282,10239
304,163,8505
305,704,3815
306,968,7603
307,88,19763
308,377,3340
309,1461,15411
310,1604,11483
311,960,7749
312,677,15582
313,283,11069
314,1297,2052
315,147,12715
316,551,17934
317,610,7470
318,1158,3877
319,1629,1423
320,1809,16282
321,391,7828
322,1650,4712
323,362,8425
324,422,12210
325,1045,10568
326,309,15849
327,1076,8414
328,1971,13187
329,148,1944
330,1094,11506
331,382,9040
332,277,15680
333,446,428
334,579,18740
335,1471,19296
336,1233,16772
337,1221,17902
338,1703,3609
339,149,16497
340,1261,2157
341,1820,3203
342,1394,15295
343,1928,17500
344,717,17671
345,1748,19122
346,514,15082
347,1732,2225
348,1901,10875
349,1098,10485
350,1741,5519
351,1683,14453
352,304,2736
353,471,6458
354,895,2447
355,1560,6026
356,793,10338
357,949,4558
358,556,19194
359,1166,229
360,1438,11214
361,195,14701
362,1445,1197
363,1979,9708
364,18,14827
365,495,16861
366,580,6369
367,620,15803
368,1779,19989
369,164,5744
370,692,7964
371,534,7521
372,277,7370
373,145,18623
374,481,8004
375,1846,3850
376,1399,4260
377,544,10900
378,541,9604
379,741,12167
380,1906,10360
381,1319,17564
382,108,9262
383,163,1526
384,658,18164
385,1682,10571
386,1755,11762
387,1419,100
388,246,12093
389,357,11250
390,18,4217
391,782,19466
392,895,14031
393,647,14234
394,1240,6056
395,906,8592
396,1133,10699
397,1590,7364
398,1456,18301
399,939,8109
400,1236,18213
401,443,14599
402,1176,3170
403,1190,9271
404,1367,12699
405,317,18445
406,1533,6441
407,1686,15420
408,1258,19404
409,359,10193
410,1832,166
411,374,18885
412,482,5131
413,1429,19551
414,1364,5838
415,105,11431
416,521,1418
417,534,13535
418,896,18015
419,560,16740
420,779,15402
421,758,16767
422,306,18618
423,191,5663
424,582,18097
425,1273,1015
426,414,10579
427,323,13485
428,1984,10582
429,662,6920
430,1531,3357
431,190,8232
432,853,14527
433,1820,6064
434,334,17192
435,316,772
436,1462,19543
437,642,15411
438,483,4593
439,1982,8390
440,279,18436
441,1642,5376
442,1227,13840
443,1572,15412
444,47,19200
445,370,4366
446,1616,3389
447,989,6743
448,309,12245
449,513,18947
450,66,12998
451,413,970
452,493,6262
453,1785,16311
454,1605,17587
455,157,17004
456,1579,11450
457,1456,3067
458,328,16985
459,1609,18229
460,1467,3431
461,354,10592
462,1328,9164
463,315,10162
464,1312,1383
465,149,16388
466,918,13497
467,1764,2727
468,150,6174
469,1539,9331
470,179,2506
471,1602,4365
472,872,8373
473,1002,17499
474,886,1852
475,857,9840
476,228,10654
477,521,17649
478,1808,19276
479,1817,1134
480,1677,1616
481,909,19654
482,1053,16666
483,830,11831
484,579,19481
485,428,6657
486,1901,17989
487,524,14952
488,1042,10716
489,1464,8782
490,670,18929
491,871,13203
492,1671,18796
493,93,18348
494,306,18368
495,1318,13363
496,1013,17965
497,1406,10503
498,854,4805
499,1194,3784
500,843,2870
