"id","user_id","anecdote_id","value"
1,1348,12682,1
2,1665,15254,1
3,1925,2549,1
4,1855,14329,1
5,1625,5337,1
6,770,17756,1
7,413,626,1
8,548,1778,1
9,1940,6626,1
10,419,11447,1
11,562,6712,1
12,1751,14531,1
13,881,607,-1
14,1560,8282,1
15,766,10374,1
16,1185,2792,-1
17,970,2592,1
18,231,13439,-1
19,498,6982,-1
20,1669,8725,-1
21,1262,16672,-1
22,131,4333,-1
23,556,4051,1
24,1653,5846,-1
25,818,14186,1
26,1528,9192,1
27,230,15718,-1
28,543,17360,1
29,36,18025,1
30,1227,10544,-1
31,49,1420,1
32,19,18639,-1
33,1215,2112,1
34,313,14073,1
35,655,19026,1
36,969,11370,-1
37,1177,19622,-1
38,1996,17994,-1
39,1239,7243,1
40,375,14948,1
41,994,11665,1
42,1811,19775,-1
43,1370,88,-1
44,862,16787,1
45,1800,740,1
46,378,9957,-1
47,1220,3724,1
48,633,6509,-1
49,412,19380,1
50,697,830,-1
51,1809,8078,1
52,1026,9433,-1
53,1066,13351,-1
54,397,17617,1
55,1806,10898,-1
56,907,10162,1
57,646,9342,-1
58,1987,12308,-1
59,1584,11532,1
60,762,18292,1
61,142,18515,1
62,1575,5599,-1
63,296,515,-1
64,1293,488,-1
65,623,19297,-1
66,1225,14102,1
67,203,1724,-1
68,41,6737,1
69,31,3331,1
70,1111,1435,-1
71,908,9905,1
72,1341,1863,-1
73,1809,5907,-1
74,46,8846,1
75,545,9020,1
76,627,440,1
77,1316,9220,-1
78,1343,11967,-1
79,973,5420,1
80,1169,17340,1
81,15,15509,-1
82,63,2544,1
83,1372,7988,1
84,309,13931,1
85,1336,8571,-1
86,1400,7917,-1
87,344,8050,1
88,1878,16047,1
89,1012,12808,1
90,1570,3134,-1
91,483,17846,-1
92,1314,4278,-1
93,920,10628,1
94,550,14270,-1
95,971,18163,-1
96,1304,2456,-1
97,126,12653,-1
98,337,338,-1
99,1968,11901,-1
100,815,13943,-1
101,1760,9363,-1
102,829,1636,1
103,454,9365,1
104,831,4346,-1
105,156,5853,1
106,851,16014,-1
107,1563,11724,-1
108,267,838,1
109,115,2626,1
110,627,729,-1
111,1979,15173,1
112,287,10314,-1
113,709,17580,-1
114,941,7042,-1
115,285,1734,-1
116,416,576,1
117,477,5316,1
118,1312,2254,1
119,1065,13275,1
120,1122,3562,-1
121,1362,12244,-1
122,1095,8645,1
123,775,19432,1
124,1559,12305,-1
125,544,14725,1
126,629,8461,-1
127,794,19630,1
128,691,18842,1
129,1909,3515,-1
130,1927,4042,-1
131,187,7689,1
132,1639,18394,-1
133,616,15864,-1
134,1293,14272,1
135,320,12637,1
136,1266,13526,1
137,1385,1528,-1
138,1239,1960,-1
139,929,8178,1
140,415,13197,-1
141,407,9270,-1
142,1661,15996,1
143,1714,4019,-1
144,284,19615,-1
145,512,18594,1
146,157,16933,-1
147,524,14245,-1
148,1449,11248,-1
149,406,8963,-1
150,1927,5296,1
151,1999,7906,-1
152,1242,11057,-1
153,1185,924,1
154,26,9688,-1
155,769,5977,-1
156,1010,3616,1
157,332,13534,1
158,458,16126,-1
159,384,13740,-1
160,878,12346,-1
161,1211,1618,1
162,948,16592,-1
163,1422,12688,1
164,697,7060,1
165,1637,1147,-1
166,1583,4230,-1
167,7,15960,-1
168,160,9052,1
169,241,155,-1
170,1234,4588,1
171,1775,19219,1
172,1579,245,-1
173,1370,3729,-1
174,44,9789,1
175,1097,18257,-1
176,84,6107,-1
177,788,14269,-1
178,65,9702,-1
179,406,18658,1
180,72,10712,1
181,903,8872,-1
182,1493,6479,-1
183,277,1394,1
184,209,3324,-1
185,253,2929,-1
186,711,14530,-1
187,621,13959,-1
188,109,9527,-1
189,283,16609,-1
