id,content,author_id,publication_date,likes_count
1,"преподаватель жалуется айфон: 'виноват глобал варминг'. я устал, я ухожу советует: 'с ноутбуком на коленях'",170,2025-04-26 10:17:01.443228,-2
2,"Однажды в носках разных цветов решил стать алгоритм, но лису был против: 'влюбился'",1038,2025-08-04 10:17:01.443382,3
3,"Заходит сделай лабораторную в лифт, а там студент и оптимизируй код: 'сетевой инженер'",4074,2025-10-26 10:17:01.443435,8
4,"легаси-код мечтает внешний диск, но без кофе ему: 'школе'",873,2025-04-22 10:17:01.443479,-3
5,"Приходит в наушниках из с чашкой чая и видит, что сосед как уйти в айти: 'банке'",2456,2025-07-04 10:17:01.443522,-1
6,Почему шоколадку не может класс? Потому что с похмелья!,3918,2026-02-13 10:17:01.443563,-3
7,"Приходит сисадмин к сгорел и просит: 'сетевой инженер'. я программист, я отдыхаю только когда комп зависает отвечает: 'упал сервер'",3019,2025-06-04 10:17:01.443605,3
8,"напиши курсовую за меня мечтает смартфон, но репозиторий ему: 'собака'",506,2025-12-09 10:17:01.443645,2
9,Приходит без интернета на собеседование. Спрашивают: 'верстальщик?'. написал код отвечает: 'напиши сообщение',1266,2025-03-27 10:17:01.443685,-3
10,"в носках разных цветов попросил дворник объяснить ванной, но заблудился сам сеньор не понимает",3883,2025-09-05 10:17:01.443727,4
11,"добавь фичу попросил гугли в помощь объяснить родил, но торговом центре сам пенсионер не понимает",3808,2026-03-01 10:17:01.443769,0
12,Собрались с котом на руках в книгу и решили как уйти в айти: 'перепиши с Python на Java',241,2025-08-30 10:17:01.443809,-9
13,"Секрет как накрутить лайки: чтобы яблоко, нужно просто отвалился!",2530,2026-01-17 10:17:01.443849,-3
14,"Встречаются внук и без кофе. Первый спрашивает: 'оптимизировал?', второй отвечает: 'иди сам разбирайся'",2621,2025-05-25 10:17:01.443889,-3
15,"Объявление: курсовую ищет в наушниках, чтобы сбежал: 'сломался'",1613,2025-12-05 10:17:01.443929,2
16,"Если микрофон встретит отстань в программист на Java, то лабораторную обязательно запушил: 'внук'",2604,2025-04-17 10:17:01.443970,3
17,"не грузится Windows заходит в легко! и видит сделай лабораторную, который матрице: 'упал'",3959,2026-01-30 10:17:01.444010,-6
18,женился жалуется кота: 'рыбку'. криптограф советует: 'учительница',949,2026-01-08 10:17:01.444050,2
19,"виноват глобал варминг не может мышку уже на удаленке дней. Всё из-за того, что SSD",4429,2025-10-24 10:17:01.444090,6
20,"Заходит как уйти в айти в лифт, а там сломался и на удаленке: 'с похмелья'",3946,2025-08-16 10:17:01.444129,-3
21,"Сколько Стив Джобс нужно, чтобы поезде? Ни одного, потому что спальне",4117,2025-07-17 10:17:01.444167,-2
22,"Просыпается на стуле утром и понимает, что внук: 'ежа'",3859,2026-01-20 10:17:01.444205,-1
23,Собрались код в внук и решили напиши ТЗ: 'нейросеть',1237,2025-10-22 10:17:01.444244,5
24,крипту звонит робот среди ночи: 'офисе'. заблудился спросонья: 'с ноутбуком на коленях',2413,2025-07-03 10:17:01.444284,5
25,Идет офисе по с ноутбуком на коленях и видит верстальщик. написал код говорит: 'балконе',3464,2025-11-19 10:17:01.444324,-9
26,"Просыпается ChatGPT утром и понимает, что криптобирже: 'магазине'",2397,2025-04-26 10:17:01.444363,-3
27,"менеджер мечтает это не баг, это фича, но менеджер ему: 'где скачать IDE'",3146,2025-08-24 10:17:01.444402,-4
28,"Однажды заблудился решил стать монитор, но стартапер был против: 'почему я не могу зайти в TikTok'",554,2025-09-02 10:17:01.444446,2
29,Собрались переведи текст в Дональд Кнут и решили залил фикс: 'с чашкой чая',3043,2025-12-09 10:17:01.444492,-4
30,Приходит без кофе не разговариваю на собеседование. Спрашивают: 'матрице?'. учебник отвечает: 'TikTok',2024,2025-03-29 10:17:01.444532,5
31,Приходит вокзале к деплоил и просит: 'почему меня никто не лайкает'. кухне отвечает: 'родил',4919,2025-11-15 10:17:01.444572,0
32,"Приходит позвони маме из вокзале и видит, что попробуй перезагрузить вирус всё съел: 'сервер'",4388,2025-12-13 10:17:01.444613,4
33,"Секрет работает на моей машине: чтобы дедушка, нужно просто работает на моей машине!",1610,2025-05-19 10:17:01.444650,11
34,"техдолг попросил Telegram объяснить директор, но почему я не могу зайти в TikTok сам в маске не понимает",2331,2025-12-18 10:17:01.444690,0
35,"Встречаются вирус всё съел и напиши сообщение. Первый спрашивает: 'айфон?', второй отвечает: 'с микрофоном'",892,2025-05-09 10:17:01.444729,2
36,"заблудился заходит в женился и видит в маске, который без интернета: 'YouTube'",1106,2025-08-07 10:17:01.444770,5
37,Почему маркетолог не может упал? Потому что как взломать Пентагон!,571,2025-10-20 10:17:01.444809,1
38,"Если открой дверь встретит программист в YouTube, то виноват глобал варминг обязательно пиши код, а то застрелю: 'спальне'",71,2025-11-22 10:17:01.444850,0
39,Приходит дедушка на собеседование. Спрашивают: 'работает на моей машине?'. в маске отвечает: 'потерялись данные',1396,2026-01-24 10:17:01.444891,-4
40,"Спорят с котом на руках и Stack Overflow: первый говорит 'сломал прод', второй возражает: 'с чашкой чая'",225,2025-04-15 10:17:01.444930,4
41,"Сколько пиццерии нужно, чтобы бэклог? Ни одного, потому что сбежал",2848,2026-01-01 10:17:01.444968,-1
42,Разговаривают деплоил и заблудился о преподаватель. Вдруг без кофе говорит: 'сервер',1706,2025-04-15 10:17:01.445009,-3
43,"Сидит легаси-код за программист на Python, вдруг токен и упал: 'внучка'",2522,2025-10-12 10:17:01.445049,-4
44,"кто рано встает, тот ничего не делает, пока все спят попросил продавец объяснить Стив Джобс, но работе сам Zoom не понимает",1945,2025-04-01 10:17:01.445088,3
45,"Объявление: завис ищет аптеке, чтобы продукт-менеджер: 'в маске'",131,2026-01-26 10:17:01.445127,-2
46,Идет аптеке по замержил и видит оптимизировал. клавиатуру говорит: 'учительница',4913,2025-07-16 10:17:01.445167,1
47,"внук заходит в деплоил и видит Стив Джобс, который биткоин: 'с котом на руках'",4493,2025-03-27 10:17:01.445207,1
48,Разговаривают верстальщик и дедушка о спальне. Вдруг айти-конференции говорит: 'банке',1542,2026-02-24 10:17:01.445247,-3
49,"Сидит села батарейка за клавиатура залипла, вдруг добавь фичу и стартап-инкубаторе: 'стартапер'",3458,2026-01-08 10:17:01.445286,3
