id,user_id,anecdote_id,value
1,2292,525,-1
2,2571,9436,-1
3,2610,46385,-1
4,3279,35480,1
5,1113,18358,-1
6,2780,23522,1
7,1658,48873,1
8,3335,31603,-1
9,1892,1455,-1
10,4891,7021,-1
11,3961,28931,1
12,4290,29586,-1
13,3996,16389,1
14,2153,26340,-1
15,3018,38848,1
16,2504,7374,1
17,1940,28769,1
18,2348,6794,1
19,1751,46039,1
20,3899,5668,-1
21,3159,10524,1
22,300,7528,1
23,4557,5836,-1
24,4601,4108,1
25,948,43943,-1
26,2867,41836,-1
27,2149,33218,-1
28,2099,44314,-1
29,2767,44534,-1
30,1441,49640,-1
31,1769,19846,-1
32,633,14338,-1
33,3828,38926,-1
34,2554,11269,1
35,3860,45477,1
36,4712,3787,1
37,4156,32164,1
38,4053,21379,-1
39,2121,14220,1
40,4789,15433,-1
41,3981,11527,-1
42,915,31654,-1
43,3992,5939,1
44,1902,12498,1
45,4606,33729,-1
46,3009,45566,-1
47,4133,39069,-1
48,4981,41189,-1
49,3078,12986,1
50,2953,32205,-1
51,4475,13407,1
52,3350,12957,-1
53,1747,22592,-1
54,4575,24649,1
55,2469,33260,1
56,3273,45814,-1
57,3411,6952,-1
58,2496,46659,-1
59,862,27323,1
60,3512,41814,-1
61,4121,27241,-1
62,4161,34166,1
63,3342,20287,-1
64,1600,15661,1
65,4547,5630,-1
66,2142,28159,1
67,2871,49586,-1
68,3830,39967,1
69,3500,12204,-1
70,685,18685,1
71,2144,27124,1
72,747,46866,1
73,4383,36460,1
74,1914,27754,1
75,4598,22853,1
76,3620,36978,1
77,2956,34563,-1
78,514,42210,1
79,3766,41013,-1
80,3470,49650,-1
81,466,8808,-1
82,3873,19581,-1
83,2460,46343,-1
84,1307,5271,-1
85,2561,46147,-1
86,1374,45586,-1
87,4885,20883,-1
88,2243,24921,1
89,4323,42300,-1
90,987,42356,-1
91,890,11601,-1
92,4929,2989,1
93,3361,8039,-1
94,368,42306,-1
95,495,8666,-1
96,3131,22922,-1
97,2131,20194,-1
98,386,33151,-1
99,457,39239,1
100,42,44026,1
101,108,10032,-1
102,2596,7452,-1
103,4381,14392,-1
104,3780,15787,1
105,4345,14286,-1
106,4954,13319,-1
107,4304,32708,1
108,4005,18616,1
109,3173,25190,1
110,2905,10057,-1
111,4619,45524,-1
112,3534,23233,-1
113,631,3495,1
114,2021,33855,-1
115,4208,37199,-1
116,480,15111,1
117,1515,40328,-1
118,1381,43409,-1
119,2317,39519,-1
120,1871,1106,1
121,1351,25931,-1
122,466,4365,1
123,1360,32814,-1
124,1664,38450,1
125,4444,17834,-1
126,3511,36794,1
127,2834,7379,-1
128,1636,39498,1
129,3458,40077,-1
130,4613,11216,1
131,4398,11060,-1
132,89,23732,1
133,3446,42037,-1
134,2851,24448,-1
135,208,34707,-1
136,2098,32939,-1
137,263,12389,-1
138,3550,10732,-1
139,3928,46989,1
140,1727,24324,-1
141,2939,5610,-1
142,915,19561,1
143,4271,33856,1
144,2720,23221,-1
145,3933,30554,-1
146,2296,22173,-1
147,1286,18269,-1
148,2529,24080,-1
149,3010,31065,-1
150,2981,22799,-1
151,4886,7156,1
152,1377,22333,-1
153,498,26171,-1
154,3112,1379,1
155,2638,29159,-1
156,308,38059,-1
157,4975,4483,1
158,3134,32425,1
159,2099,49964,-1
160,3520,4357,1
161,2468,6217,1
162,4468,3999,-1
163,4821,4724,1
164,3715,16513,-1
165,4304,44180,1
166,4689,11594,-1
167,1308,3550,-1
168,1328,44752,-1
169,2124,8226,1
170,3050,2015,-1
171,4988,45084,-1
172,3699,42035,-1
173,1420,38095,1
174,3580,9360,1
175,1447,40408,-1
176,1984,40458,-1
177,4650,28298,-1
178,1471,44561,-1
179,4516,33673,-1
180,3012,20807,-1
181,14,3294,-1
182,4959,34811,1
183,2597,46851,1
184,3727,40041,-1
185,2437,33491,-1
186,963,36585,1
187,1905,32032,-1
188,4843,41164,1
189,1461,11176,1
190,1656,40699,-1
191,3347,9266,1
192,2624,29950,-1
193,1847,19522,-1
194,2694,18737,-1
195,4050,47054,1
196,4243,49352,-1
197,4002,40309,1
198,1835,37194,1
199,1024,49619,-1
200,453,8676,-1
201,3925,14427,-1
202,4320,15902,-1
203,4320,49565,1
204,4210,27072,-1
205,3956,39947,-1
206,62,21131,-1
207,4334,20046,-1
208,573,45474,-1
209,134,22969,1
210,4412,48567,1
211,2778,12784,-1
212,1609,30913,-1
213,597,47345,-1
214,2945,41819,-1
215,1687,5923,1
216,1219,14380,1
217,4665,24552,1
218,2411,21294,1
219,4305,26671,1
220,3748,40544,1
221,4985,15185,-1
222,829,2472,-1
223,3020,23520,-1
224,341,27580,1
225,1353,19745,-1
226,14,31832,1
227,4626,18665,-1
228,2412,46132,-1
229,2611,4162,1
230,1798,32329,1
231,819,16922,1
232,3215,16882,1
233,530,28802,-1
234,2686,37596,1
235,2104,6135,-1
236,4976,40160,-1
237,1239,26460,-1
238,3867,47585,1
239,4534,44827,-1
240,450,10098,-1
241,1250,20735,1
242,445,10414,-1
243,2642,49308,1
244,340,8276,-1
245,256,43905,-1
246,120,22376,-1
247,2858,27320,1
248,3408,17576,1
249,2196,21428,-1
250,3273,40766,-1
251,2196,47939,-1
252,1457,38176,-1
253,2524,17142,1
254,1833,46510,-1
255,4496,36449,-1
256,4449,32625,-1
257,4476,8474,1
258,2115,39416,-1
259,2394,10667,-1
260,1942,18545,-1
261,3792,44389,-1
262,4705,34316,-1
263,2939,35308,-1
264,4579,23377,-1
265,1869,10912,1
266,3425,31109,-1
267,3930,15228,1
268,4524,33702,-1
269,696,29680,1
270,4987,45201,-1
271,1395,19045,1
272,1536,5250,-1
273,3367,3006,-1
274,2132,13653,1
275,90,24480,1
276,1311,23349,1
277,2040,6770,1
278,708,15075,1
279,2073,9824,-1
280,3491,39914,-1
281,1595,22891,-1
282,310,16794,-1
283,4816,9940,-1
284,65,45932,1
285,3338,15490,-1
286,4328,18966,1
287,1396,12253,-1
288,2400,23537,1
289,3433,25278,1
290,133,3626,1
291,4648,14103,1
292,3315,48033,-1
293,3494,26936,1
294,3504,29047,-1
295,4628,37920,-1
296,4995,43883,-1
297,561,37674,-1
298,3066,49652,1
299,1986,25670,1
300,821,39174,1
301,2193,12493,-1
302,584,1902,1
303,3432,43602,1
304,2019,32549,1
305,2204,47037,-1
306,3422,29825,-1
307,1217,6478,-1
308,3681,24017,-1
309,1758,42298,1
310,4928,10816,1
311,1519,38558,1
312,4198,24058,1
313,545,12704,1
314,4667,32053,-1
315,1851,20052,-1
316,1146,44834,-1
317,4268,17148,1
318,2883,692,1
319,2864,42782,1
